omega_a,omega_c,ta,dic
1.9200359435166394,3.0268855356847757,2264.4521628240086,2105.6464404226663
1.9668856811970605,3.1000453403806714,2294.507207540944,2131.8555088639137
1.9607959650619728,3.0917759055612017,2337.377719096878,2176.398045838514
2.050316876487008,3.231979426869753,2393.369443357188,2225.5928676897033
1.907833139606109,3.0058766717647547,2261.635802646786,2104.311558188867
1.8402835882795714,2.9006423756659383,2217.6105178112853,2068.209292330146
1.77622180465583,2.803155898194514,2167.7658943752904,2025.2107804465822
1.6865450099331334,2.6646090434065224,2120.3851480710596,1985.2999281082334
1.696753727766102,2.6742689876446852,2194.575515749137,2058.5177536752576
1.7735456437185098,2.794033734237491,2208.3249668279354,2064.2683456156806
1.7886930687914644,2.818249954588747,2242.734853863568,2098.869878582118
1.834613961335358,2.8916341151559295,2262.2878601228645,2113.948956629388
1.9609369375392278,3.0943950630846224,2387.0011971611502,2229.4941330134925
1.9567197608610376,3.0850152585104977,2349.1075722176515,2189.7485431485024
1.9622244926340577,3.093763531625682,2324.8787678049307,2163.4838725887575
1.9699462476617664,3.1047014663224104,2299.1048757966955,2135.897701913605
2.0354684890675308,3.2079365921756833,2316.0404891879475,2146.7024043052756
2.050665714648617,3.228732910834988,2281.938491566522,2110.805995481084
1.834252788239521,2.8854960253004878,2114.7220967984504,1961.8549472984944
1.8570438986455169,2.9216408349342218,2119.9397369124677,1964.9962563042236
1.8972848704860865,2.9880135576514295,2157.37047923348,1997.2067780089121
1.9401356085090373,3.057673140244176,2225.2317213407237,2062.5647563033335
1.9841778914327042,3.1265396527869433,2275.3773623672637,2109.9770487975343
2.042134765307296,3.218033079745067,2336.482244269591,2167.5828154734313
2.0358205724806293,3.2079886957746555,2353.81475983304,2185.9460992473155
2.091497107563125,3.2963619030697062,2409.7198167852052,2238.2807346861487
2.0235787429160346,3.1895504594092414,2344.0402318436177,2176.6159260960144
2.0499869376830655,3.2307496376693994,2363.4037015671215,2194.015441698932
2.044925994020607,3.22194307590387,2356.295272139979,2187.387945221492
2.0253089122849044,3.190482279713474,2354.119803337723,2187.3804590311743
2.0870884344896052,3.290186019368196,2367.495464342372,2198.5803691115866
1.8664261460556453,2.9438025715792304,2247.3931854412117,2098.621969829616
1.7146227675368357,2.704498967607593,2165.613868295117,2027.7248502597522
1.732445855196533,2.729434315397505,2196.25323503173,2056.0256396187974
1.891887591115707,2.979084696817626,2276.024440355943,2121.945224053684
1.8371361114649363,2.8933594059685377,2250.4327490658197,2100.5062719894327
1.8870175682228159,2.9723290744150015,2287.4103425113112,2133.5569847529996
1.9274045831510336,3.0387049808793862,2318.8503712320994,2160.8165706771574
1.9490055433061408,3.0734232222091102,2330.1752450920785,2170.1516166995843
1.977468556714419,3.118036516860623,2339.7999040479067,2176.6294066417686
1.9956071185898328,3.144519846518258,2305.411971482373,2139.558733320437
1.9986862327512875,3.1472734270580105,2281.7368568284464,2115.07042038751
2.0768635338994157,3.266812312377157,2280.8704359918415,2107.0972718982302
1.8936182302023243,2.979096528949244,2120.718277668732,1961.0533295146352
1.992626406028065,3.1344290481835344,2185.2913849993697,2018.8594558188865
2.0533674966101616,3.2290724164445344,2228.9170544873455,2058.1996598886603
1.9466812464830276,3.0628712178770274,2149.3328531377415,1985.2430560264258
1.9466333822546198,3.062274653480983,2205.8908194040278,2044.0777705181945
1.9296948301472256,3.037823246314004,2224.07245231371,2063.670206936068
1.9705609583461565,3.1030559212298208,2284.7068031321173,2121.434875613059
2.0530526507674565,3.2348529810020916,2378.527175910366,2210.099296831985
2.0555828676089365,3.241558593219112,2435.900424533015,2268.411639268973
2.04653254517696,3.226342792942462,2439.7671792764363,2273.5977858182223
nan,nan,nan,nan
1.9315061831088878,3.0428035114692373,2277.158050193271,2116.995948337509
1.8544815591019246,2.925831344599606,2235.7610186568613,2084.4889036967274
1.815046759922705,2.864982271614795,2232.688639205022,2086.6597805432566
1.7631058905389072,2.78325055342293,2208.1554838990423,2066.453136472389
1.7501661479648427,2.7605929327998315,2205.279446894966,2063.813712360935
1.8065130032226635,2.8455166284754996,2214.6136692212676,2066.7486778209586
1.7836018353876975,2.811129617272857,2249.305506148501,2104.6892400602837
1.9170896783639373,3.021648919768818,2298.075280441613,2140.4629412548975
1.9714944436432433,3.1074809687676614,2343.413066698746,2181.921694895084
1.9030524049545372,3.0003633155650435,2296.510981034685,2139.910813011599
1.9680174948479423,3.1036848202889624,2323.9178193903235,2161.098629511432
1.9935937462156865,3.1432169036173323,2324.605574181793,2159.5138862287595
1.9728803699432516,3.106553128007614,2256.764983865145,2091.776086984035
1.9742641090492552,3.1068915923797378,2239.9148206929995,2074.5081595610945
1.884673636387174,2.9674268729605298,2132.4545127473184,1974.6587363486979
1.8308251467951386,2.8816091874180505,2059.185809760112,1903.7728376287737
1.7785506265186668,2.8002504038779366,2053.6867387874545,1902.5464867028857
1.9557429132417679,3.0777671338422663,2216.888892294015,2053.6195523988326
1.8950804935555818,2.9822618191951222,2199.350769426594,2041.4041109942539
1.9692630174937171,3.1020882320067207,2257.4013065308854,2092.171929704843
1.9549045657242,3.0795592214354346,2259.6634827511284,2096.218437543247
1.8693323258802976,2.945834559979534,2228.645132776784,2072.4054042670473
1.9240237633239314,3.0322403874858392,2281.610199862826,2121.627598287918
1.9254872950624642,3.0363639081546574,2293.791578541703,2133.619934342478
1.9203449347156274,3.027141024988421,2290.923893164484,2131.5510603929106
1.990292668264872,3.136455588323628,2338.2700808066934,2173.7616430449843
1.9241596442592166,3.028950654951053,2273.6612402096766,2114.232256485914
