omega_a,omega_c,ta,dic,ph_tot
nan,nan,nan,nan,nan
1.2792403497851392,1.996478749709178,1480.5713643428592,1355.5674447172964,7.934717292393319
1.2881285005451368,2.0073971198642915,1470.5059017168112,1341.9248279704884,7.9420684259261805
1.2061562835546835,1.880827345330629,1388.2929349797635,1265.2683135446796,7.940000512143497
1.2683339942109695,1.9795496033735693,1454.151837037535,1327.2239243798535,7.947583786847795
1.3776959095889134,2.146636717260097,1491.408709889052,1354.2215292025617,7.964081268669748
1.5317454088578737,2.3877625763646724,1571.438152969651,1420.669862848614,7.994446871199493
1.3961952431698987,2.177132037123562,1497.411508705481,1358.0779377019421,7.974311965061491
1.4203294218355071,2.2138820134504495,1455.8863220325768,1311.1039280777968,7.995822655664343
1.2657949055242435,1.9756663761707511,1389.5289003676667,1258.8660259345074,7.970790130647616
1.3956751373633354,2.174750741941276,1472.5383455525962,1332.0439204463319,7.977721508352607
1.3457806754484716,2.0964550579799233,1453.1973042386173,1317.5642068595332,7.964306724282509
1.3786508792085006,2.1485416950595577,1527.9510990538058,1392.8739181476506,7.952659697807223
1.2618536642778717,1.9652191777752523,1397.1959964793507,1268.3536293263292,7.950426994414409
1.0856045649965,1.6965976206735451,1473.423066979739,1369.9514557409022,7.872549862886844
1.4055197396507768,2.1899548391287396,1681.31142965793,1552.2801015949135,7.909531667052527
1.2173659956205594,1.8951226114920745,1409.8547709502818,1287.364751579125,7.924832517198008
1.3048123566959917,2.0330291561485274,1576.4578444424428,1452.9005759960944,7.907968969506061
1.107742814539248,1.7256799096608968,1404.0424629088204,1294.863055171684,7.8836354566646305
1.2512861468456118,1.9492835136256506,1528.7214831655097,1409.1309772369882,7.900780861205297
1.0357450580621888,1.6150418650510436,1381.6334835187047,1280.019713088567,7.86494016058173
1.1826607325398057,1.8478420957095327,1521.1889469008854,1408.3042224651776,7.89743149489116
0.9165653161227427,1.433124949697643,1379.4311010339,1292.1595373370433,7.827291247420957
1.3322730499426814,2.0845413527741496,1772.78660663596,1654.801166641263,7.890192741261867
1.5169826514830753,2.3690361298130886,1842.853960016952,1708.1631092446796,7.918946234908618
1.2639659599488362,1.9771592315109054,1728.4655828099153,1616.7299471589001,7.8736141709845855
1.4228242946806033,2.2162773965056246,1617.3863422341135,1482.4596992755778,7.935500158520103
1.4036850036921131,2.183692908736219,1456.0290340151082,1314.1548788392838,7.975338747250853
1.5920697803696615,2.472182471320857,1512.632386422591,1353.4102200166892,8.005876866459145
1.3189619200541656,2.049126101648301,1342.2764855082335,1203.941291232872,7.976720635126745
1.3808088134871317,2.144783621377091,1420.137605753376,1279.2271643064798,7.96987410204203
1.29414850018821,2.00911377341914,1346.980027782533,1211.883265474261,7.9616109062944265
1.3433405644706782,2.0896913272007813,1413.2516609617237,1275.8586673411407,7.968511496674192
1.4656852025150076,2.281875317230293,1578.0747056603645,1436.1678564616436,7.959479897613977
1.1482002333047285,1.7920435414028655,1470.9972313564133,1360.0692055302595,7.890952705546492
1.5672142031056913,2.4406640492353935,1860.2560395411374,1722.3139389029318,7.908844752217698
1.368593577726966,2.130191221247764,1541.0516708785178,1408.5506306250882,7.935117279013086
1.4232166354025821,2.215129080999616,1558.1377502925939,1420.276187637986,7.948665706849074
1.4469980415470636,2.2542540315199,1606.881919791786,1468.6233269774623,7.947822028966856
1.7393574788712958,2.7125752747978646,1844.827514308496,1686.0488624488105,7.976754571914185
1.8659133254161386,2.91106072692255,1980.8294660168874,1815.1170900461323,7.977939711466829
1.6580269462608743,2.5864410302064744,1904.6856370026753,1757.9307145782766,7.937717399309649
1.6668341816934484,2.595021604574504,1885.2341788871247,1737.6450773121462,7.930508066748976
1.1522707044833782,1.795393292466842,1476.5881238185068,1366.2861644055463,7.87785543526793
1.5068603262076818,2.345330425210825,1679.4560371245743,1539.157505016518,7.937107352370958
1.3529733036423892,2.1075674925446752,1613.5206575019306,1487.0602332363953,7.909667230737687
1.4211946671870792,2.2147313966593045,1738.7202079298852,1611.0823979169602,7.898191664465864
1.0996007493065088,1.719012569998944,1542.5800042698672,1441.525785993679,7.856211919131347
1.6009521739921664,2.5009103885619166,1931.3054403630133,1791.9038898824385,7.922186931600338
1.3668368542237588,2.1324912233783313,1576.0186760982745,1445.0803339086701,7.9385172738646155
1.6058195349920126,2.5039657113128637,1644.3722947103095,1489.8526919453675,7.994387188722801
1.3294643752530009,2.0736849490886096,1450.3673039172584,1316.409815708831,7.966684915984181
1.291641461730159,2.013832530729615,1425.0450444639391,1294.3211995783913,7.957947791597946
1.0959154569993539,1.7120331777757611,1324.309530102321,1211.0795120629227,7.926747264979905
1.4248838682769327,2.215358500388159,1516.8569875610222,1377.0216828719044,7.95497784660115
1.41771725423165,2.208081527359895,1515.6959701354656,1375.8283827205858,7.965458553119845
1.325350248384136,2.0652577022716514,1466.9146643585061,1335.008127191932,7.951455172204353
1.2774160951984335,1.9896770342533638,1448.5040329353485,1321.524525321295,7.935865106010023
1.5002141055636375,2.3377122387564215,1663.072963680937,1522.2483171898136,7.947747053276166
1.5355522879510097,2.393647850876442,1789.4558531924122,1651.3893138600463,7.923697741336052
1.8637284015537847,2.9050300715608084,2148.734091295032,1992.6405683102782,7.925733481079142
2.2334929231569673,3.480102244112979,2306.2104118548937,2119.410591491411,7.976559849944935
2.1022790118312935,3.2760752089015672,2170.3721651959363,1990.6620905627112,7.978349476480112
1.6577869319673202,2.583370786926854,1909.2142023091337,1764.141827843767,7.925037699219179
1.4958160832965723,2.330822770720302,1776.377696524701,1642.5680473994396,7.9105324463460365
1.1471719848618083,1.7924211162871369,1571.6831807214098,1466.5525052133896,7.863402321091069
1.1328311537244578,1.7679607880791661,1632.1394260709897,1532.67364427532,7.8293013363004995
1.3039334298032528,2.0327550610455094,1725.296500335467,1611.307251301219,7.858617529915446
1.5775364589217618,2.459861442081476,1902.1665273166498,1765.6617719981098,7.905432535894138
1.294679987228756,2.017374766122035,1723.587005039745,1610.863691640154,7.851975516600366
1.9794035105357142,3.0853722322695196,2288.803502394794,2127.4509498646103,7.921658161771213
1.5715443044900128,2.4558023590760953,1900.9702984852272,1763.5812072530723,7.921843183136668
1.1016752448670668,1.7238347521522148,1681.5899868634474,1587.7404644713656,7.819886238349657
1.1480004422173298,1.7964893010660423,1745.692262641885,1649.4933527712355,7.8215832856587015
1.0640668026407216,1.6652473764071098,1649.9024857667218,1559.257933275188,7.81247570941359
1.4414305839690837,2.2577828337872687,1983.1715140755628,1863.2061808081667,7.87759052215657
1.5850472837489984,2.47173901443276,1952.3453088002113,1817.2708717051535,7.895905224734775
1.5294162595477987,2.390569003881888,2015.391649994482,1888.2749072179754,7.880711845829483
1.5105858339207356,2.363113617907064,1994.9501803906282,1868.6305589455694,7.885847414781119
1.5402676561822835,2.4025318327117593,1966.258780224851,1837.8755340458345,7.875108139992571
1.369612925494679,2.1400979174059307,1842.058282401006,1725.08270203905,7.868203150230444
1.1497378210483182,1.800345675986333,1698.6210189101098,1599.4215982396574,7.840924412541223
1.5850893141973004,2.475215355486623,2092.8840048799434,1963.7344264769085,7.8719638020049585
1.6389547332441796,2.564932431587515,2278.9450450257673,2151.2895169025646,7.86262409217761
1.2565548091637142,1.968241720596943,2067.3173168697876,1973.7517474841927,7.788823048591052
1.3031455320784324,2.041207524336639,2094.527203668132,1996.6790092469053,7.799658599578521
1.6649519606341128,2.6007065381906136,2246.36074744742,2115.9973974998884,7.8600298219109135
1.4304571646175777,2.2396480923548343,2256.1930050145984,2151.1328642621993,7.804888385704947
2.1161369419142293,3.3122703579376114,2859.239103989257,2705.257680987473,7.875507204487374
1.9616358079035237,3.063280628769741,2419.87543831828,2265.45008772184,7.901469776908265
1.705666536911755,2.66318857616419,2293.9792195167065,2161.4395691775726,7.858714265260251
1.423238953256033,2.2269214336450953,2156.284124646171,2047.948976591045,7.818280950696693
1.5654959829584219,2.4453763573698453,2404.0323095685294,2292.003461143871,7.796928238689238
1.979454376806082,3.093683953916584,2718.956443406804,2574.890380829867,7.854538492251326
1.929306441133323,3.016516071390567,2667.279715457846,2526.0911651170727,7.854698704822215
1.3293891356911802,2.0793321645375684,2017.412625111454,1913.5801097321432,7.815404267792956
1.5509545244395135,2.4285063450837954,2173.993191014072,2051.3258890138854,7.862176770978379
1.5159058913553978,2.375908691467368,2159.242387534654,2039.3292229115602,7.862221978943574
1.8728424204751042,2.931137516704099,2342.807368468709,2192.844018486187,7.913091501274712
1.5070735801256914,2.3591951607017503,2038.835864236749,1914.9946498069544,7.877584680617867
1.3209325200130986,2.0639659894219227,1676.0211260809647,1556.1845352246485,7.897452466462182
1.3598682349192228,2.1231538778000103,1649.7963659053366,1525.0975713284279,7.910368732837643
1.3210845081863907,2.051846111173787,1551.0837100630854,1427.1236517216626,7.893095353022063
1.5853645758420754,2.466514184209386,1836.272590992625,1697.0865991508874,7.9079335296769555
1.4967876435756382,2.327458479516507,1790.1428546345455,1657.8139873542375,7.892455793323837
1.3766334338696775,2.143699636312015,1792.7379797947704,1672.8822231287966,7.86410804089281
1.4776718016487826,2.2973117737955917,1714.5143012743201,1580.8090671469736,7.905302796064389
1.215962028292136,1.897660866935316,1501.260592541824,1384.6765940900805,7.9041320549778025
1.0871322060997033,1.6946357106438505,1375.5386426748846,1268.3536040661115,7.8827750456859675
1.2132103324465568,1.896294542649364,1591.6840584999095,1479.821699412489,7.885165023911936
1.2683624876705863,1.9850699917112322,1665.3907045632354,1550.1906803522459,7.894804462231382
0.9787767673105706,1.5325433340472454,1478.4444259125032,1389.1140812551212,7.830064385277013
1.089633922613557,1.7011301498347038,1553.6847349098489,1455.913544765067,7.833506207089586
1.4995914986127539,2.3464788386478226,1995.6627890514917,1870.6880345317377,7.883085485475282
1.2330107129397958,1.929482810644084,1778.4026950390805,1674.0597070325525,7.8438991589437075
1.3771608588798148,2.1556262296288327,1838.236859692388,1719.3623290382452,7.885309232705624
1.0456001899910672,1.6295368319257977,1508.5525789287024,1415.648429548921,7.809448365098182
1.077073638341356,1.6793437866966123,1519.6173512837624,1422.1134747528529,7.8290901744231975
1.11582904869494,1.739927642402915,1587.9531571222092,1489.0682263753195,7.826604737684039
1.1103304528937614,1.7359508651337028,1585.0358163260958,1485.7095799057333,7.844066808644651
1.1373856483055274,1.7791248353288902,1607.7760241589367,1505.8757474620368,7.85376996905481
1.3985651250912787,2.1902050458198823,1753.4043472404512,1627.377551109483,7.9209706140867295
1.2200504281152817,1.907061765291623,1540.8917516085187,1425.5511428640698,7.903674824939412
1.105557413011169,1.7314694613350552,1428.0055000212415,1319.9441863897273,7.906286769885413
0.9585764460411558,1.5002756430482036,1352.8575297734383,1259.345068632378,7.858965454626831
1.16594051112831,1.81630582348126,1455.3112963098267,1343.4700490119772,7.883392693930533
1.238569376900371,1.9342279319617797,1564.1004595832799,1447.9539362317676,7.897853918796173
1.2139220934919737,1.9003361521972149,1554.2403953416788,1439.8466542906406,7.907889401670306
1.067971870582375,1.6699460515380342,1440.1475729809026,1337.8035832501644,7.874692787137924
1.4784308654933964,2.3052676047369274,1780.62693364295,1648.710576184262,7.908339945598381
1.1385306010865854,1.7651089433564051,1486.2561221087099,1381.6766897880393,7.827282311023708
1.4013994900730984,2.1744089152568624,1793.9721284785062,1674.6896722409292,7.840022319640827
1.4406549139513842,2.245524036642906,1984.9749984733196,1867.824810151858,7.83845898666526
1.1989515087600324,1.8786577395506519,1835.58589131867,1737.6405997717038,7.82534315121519
1.1864416182351978,1.859818570192947,1798.1479870008818,1699.4103155137757,7.834946629746789
1.322769206730143,2.0736874349661876,1928.4379978220277,1819.864201038748,7.853295229987388
1.1363213064922129,1.780965383182171,1824.729960303849,1733.9366232702403,7.803913325131412
1.3996130187869265,2.1920041876281546,2025.6444746060013,1913.4270049263773,7.847769554532505
1.6127725737664358,2.5192612355889725,2133.6966726100527,2003.9368614286989,7.869982379625648
1.3920310742210655,2.179072873234823,1962.969202593126,1848.8772010688951,7.8566451756372775
1.028695069982606,1.6108594609110074,1531.1278454573103,1438.3013449392733,7.8373765184725555
0.9066551318582331,1.4201174032643709,1391.4774272183536,1306.602273609582,7.825312968895165
0.8677076983954888,1.358393805078623,1350.504966458519,1268.7871954140255,7.813990293115141
0.9820033814364957,1.5374264227760732,1396.348903156022,1302.0336260449828,7.858477011227829
1.1608607722160806,1.8181745075779208,1532.629716140109,1423.2624057319708,7.897101600936513
1.0451926533492086,1.6364372965518357,1440.1433677519635,1340.262624175812,7.873604736931895
1.176647022130006,1.843475944923526,1556.3152946817347,1446.0941586105546,7.899010108820575
0.8649029265113304,1.3551317749342597,1340.7812632196235,1258.620708109589,7.822078160429363
1.1685455317840145,1.8254826296290225,1488.586406323665,1377.1431156710678,7.893791111994385
1.118629367194719,1.7500372625149385,1503.8921437837444,1398.8020172426277,7.878591292656183
1.0055488159716781,1.5710083855716512,1374.817279501972,1276.720718951562,7.863328945195608
1.3100774244306619,2.0509065010041283,1614.6564550508144,1492.1386922238632,7.925926897752666
1.0042091164547493,1.5728024445587114,1431.4124241280272,1336.178722991167,7.859605743418553
0.8700019768881225,1.3630775294374395,1288.714373789694,1202.5889137626193,7.845185539956978
0.8492732140772973,1.3285243371446762,1274.6881112935835,1191.756861941828,7.822854549684911
1.044635170305848,1.6337149123817194,1437.3413018128301,1337.1586470778725,7.869183248323447
0.955706700217499,1.4934201694859925,1388.2812665362558,1297.7740512894363,7.833018415736736
0.7724559012605291,1.2076415796718936,1215.608126047456,1138.6024745011173,7.803930204779177
0.9560518493426295,1.4955926579144248,1428.1401536498129,1339.5877244275785,7.826854996596892
0.7608420042986651,1.1928152477748333,1299.0460806064712,1228.9945298339173,7.778396058444387
0.8299868002988072,1.2998434797212475,1365.07570327379,1289.9415523128,7.7858403559165055
0.859809537491227,1.3463583433215138,1399.571718682107,1321.7104495766077,7.794047398614348
0.83128673429732,1.2997230446588885,1347.7015657993657,1270.651253940512,7.788445030993934
0.9677274004611173,1.51410613368656,1467.7619005198214,1379.6076284934727,7.822091898636137
0.8059231982558245,1.2607699960108794,1280.9833305842237,1204.0810639796339,7.797397172203345
0.8314850054358788,1.3019003649672218,1308.628362680497,1229.4205036184119,7.809449115258578
0.8196848005164008,1.2806068064981146,1261.1559117474553,1180.2490156972246,7.811324232028862
1.1749946669981528,1.8352930347465348,1529.1736422629542,1418.8142623087385,7.88427259349988
1.211081499523844,1.8932506772605715,1581.120576176495,1469.337834008149,7.886437622721873
1.0637834104402342,1.6586987873380288,1362.516763776835,1257.252601491707,7.879548240035093
1.14044894259694,1.778205372070134,1413.1370035028094,1300.8276820464584,7.897563709015317
1.1862367225025248,1.850436197658871,1387.8640851012842,1267.4168766923872,7.933209206193625
1.2040411791177408,1.8770493838817353,1416.5424264264493,1295.6136286578453,7.926838550129711
1.1519807043696138,1.8005679291784336,1424.4550795154228,1310.0966283820003,7.918154888971494
1.2928231797784826,2.01667862345911,1662.631195947452,1545.411827959711,7.881911137282461
1.6125921762682986,2.512953319950828,1963.5429390776715,1825.594347767993,7.899443801065709
